tmid_id,Fiction,Romance,Animation,Music,Comedy,War,Horror,Western,Thriller,Adventure,Mystery,Science,Foreign,Drama,Action,Crime,Documentary,History,Family,Fantasy
tt0113228,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0114319,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0112896,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0113987,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
tt0112760,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
tt0112641,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
tt0114388,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0113101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0112722,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
tt0113627,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0114117,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0115012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
tt0112792,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
tt0114952,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0114279,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0114272,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0113855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
tt0113347,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0114916,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0113819,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0110299,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
tt0116260,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
tt0118002,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0114753,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
tt0113149,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0113828,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
tt0115644,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0115676,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0112744,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
tt0116731,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
tt0112445,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
tt0114660,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
tt0112379,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0114039,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0112365,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0118158,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
tt0115907,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
tt0117102,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0112579,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0075314,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
tt0115645,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
tt0116606,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0114536,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0103859,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0114808,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0116324,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
